602170.5,5643439,15.63,1.1940
602144.1,5643443,15.22,1.1824
602126.8,5643447,8.66,0.9375
602096.4,5643453,14.14,1.1504
602073,5643459,23.58,1.3725
602058.3,5643447,9.98,0.9991
602077.4,5643440,6.44,0.8089
602103.2,5643435,38.94,1.5904
602132.2,5643428,10.22,1.0095
602158,5643423,10.37,1.0158
602162,5643410,190.19,2.2792
602139.6,5643415,42.56,1.6290
602111,5643420,32.85,1.5165
602080.1,5643427,41.32,1.6162
602058.6,5643431,33.52,1.5253
602058.2,5643419,8.63,0.9360
602071.2,5643417,8.77,0.9430
602086.3,5643415,5.73,0.7582
602116.1,5643406,8.54,0.9315
602147.8,5643399,30.52,1.4846
602151.3,5643393,53.16,1.7256
602132,5643398,47.04,1.6725
602104.8,5643404,57.67,1.7609
602074.7,5643411,62.51,1.7959
602051.8,5643417,21.36,1.3296
602057.4,5643410,71.44,1.8539
602073.5,5643407,20.80,1.3181
602098.2,5643398,40.83,1.6110
602113.2,5643395,11.46,1.0592
602138.6,5643386,13.68,1.1361
