555175.8,5649782,51.67,1.7132
555182.2,5649792,98.16,1.9919
555194.5,5649803,282.80,2.4515
555203.7,5649815,36.54,1.5628
555213.6,5649826,95.89,1.9818
555205.2,5649834,86.20,1.9355
555194,5649828,165.92,2.2199
555182.7,5649815,79.01,1.8977
555174.1,5649802,124.81,2.0962
555167.3,5649791,8.89,0.9489
555154.1,5649802,17.97,1.2545
555163.1,5649812,40.38,1.6062
555174.8,5649822,24.21,1.3840
555186,5649832,14.84,1.1714
555195.2,5649844,60.58,1.7823
555180.7,5649858,58.88,1.7700
555173.6,5649851,126.27,2.1013
555160.6,5649838,252.19,2.4017
555151.5,5649829,45.79,1.6608
555140.6,5649820,25.53,1.4071
555127.2,5649836,192.42,2.2843
555137.1,5649844,12.42,1.0941
555145.2,5649852,265.62,2.4243
555155.4,5649861,56.59,1.7527
555163.3,5649871,42.17,1.6250
555145.3,5649889,47.75,1.6790
555136.3,5649881,132.40,2.1219
555126.9,5649872,106.60,2.0278
555117.8,5649863,98.82,1.9948
555107,5649855,423.31,2.6267
