612767.6,5655255,2.60,0.4150
612774.8,5655265,1.96,0.2923
612783.1,5655279,3.38,0.5289
612793.8,5655300,2.04,0.3096
612803.6,5655317,28.84,1.4600
612817.3,5655319,15.28,1.1841
612810.9,5655307,3.21,0.5065
612802.5,5655293,3.24,0.5105
612793.9,5655275,1.93,0.2856
612784.9,5655257,2.71,0.4330
612791.1,5655250,16.93,1.2287
612799.9,5655265,3.38,0.5289
612809,5655283,6.78,0.8312
612817.8,5655303,4.68,0.6702
612825.9,5655319,8.63,0.9360
612833.4,5655314,9.30,0.9685
612827.1,5655300,7.72,0.8876
612818.7,5655284,7.35,0.8663
612811.5,5655266,59.42,1.7739
612800.4,5655243,12.80,1.1072
612807.8,5655239,8.29,0.9186
612815.6,5655252,3.31,0.5198
612825.7,5655269,51.22,1.7094
612836.4,5655288,146.11,2.1647
612844.7,5655303,397.27,2.5991
612848.8,5655296,18.95,1.2776
612844.7,5655287,17.65,1.2467
612839.5,5655278,16.47,1.2167
612830.7,5655264,8.12,0.9096
612819.2,5655243,7.58,0.8797
