611865.2,5659165,17.70,1.2480
611857.1,5659162,4.41,0.6444
611845.7,5659157,5.73,0.7582
611834.6,5659154,1.94,0.2878
611821.7,5659147,12.56,1.0990
611814,5659161,7.17,0.8555
611821.6,5659167,10.64,1.0269
611834.8,5659174,7.60,0.8808
611846,5659179,14.15,1.1508
611859.2,5659183,16.74,1.2238
611855.4,5659195,20.75,1.3170
611845.4,5659191,11.08,1.0445
611834,5659189,10.27,1.0116
611820.4,5659184,3.92,0.5933
611810,5659177,7.70,0.8865
611801.2,5659193,19.67,1.2938
611812.4,5659196,15.49,1.1901
611824.1,5659202,4.53,0.6561
611835.8,5659206,9.04,0.9562
611848.6,5659210,9.09,0.9586
611843.7,5659225,16.34,1.2133
611831.9,5659221,15.78,1.1981
611819.3,5659218,7.31,0.8639
611807.6,5659214,10.48,1.0204
611794.6,5659209,17.46,1.2420
611782.8,5659232,9.25,0.9661
611792.5,5659237,7.15,0.8543
611805.3,5659242,4.56,0.6590
611817.9,5659246,5.72,0.7574
611833,5659250,17.69,1.2477
