555410.5,5649836,22.59,3.1175
555405.5,5649833,15.08,2.7134
555400.7,5649831,9.51,2.2523
555396,5649827,4.66,1.539
555391.8,5649821,4.75,1.5581
555406.2,5649809,3.88,1.3558
555410.1,5649813,10.14,2.3165
555415.1,5649817,13.2,2.5802
555420.2,5649822,9.35,2.2354
555423.1,5649824,9.27,2.2268
555431.1,5649811,21.32,3.0596
555426.4,5649806,8.54,2.1448
555422,5649802,76.38,4.3357
555419,5649799,19.67,2.9791
555415.6,5649793,25.12,3.2237
555426.6,5649786,10.01,2.3036
555431.5,5649791,30.55,3.4194
555434.3,5649793,3.84,1.3455
555437.2,5649796,7.08,1.9573
555439.9,5649798,9.23,2.2225
555448.7,5649787,23.36,3.151
555442.9,5649780,16.67,2.8136
555436.5,5649773,4.56,1.5173
555428.4,5649766,2.26,0.8154
555421.6,5649758,3.87,1.3533
555431.5,5649746,4.66,1.539
555438,5649752,3.01,1.1019
555446.5,5649760,3.04,1.1119
555450.7,5649763,4.58,1.5217
555459.7,5649771,15.45,2.7376
