597946.4,5654950,6.27,0.7973
597939.2,5654968,10.37,1.0158
597935.1,5654988,20.70,1.3160
597929.2,5655015,50.70,1.7050
597925.8,5655042,13.07,1.1163
597909.1,5655037,8.86,0.9474
597909.2,5655020,14.56,1.1632
597912.4,5655002,52.14,1.7172
597914.1,5654979,22.65,1.3551
597917.6,5654950,8.91,0.9499
597904.8,5654949,14.09,1.1489
597900.7,5654965,36.45,1.5617
597895.8,5654982,15.87,1.2006
597887.8,5655006,13.04,1.1153
597879,5655033,12.41,1.0938
597859.4,5655024,15.12,1.1796
597860.1,5655009,139.66,2.1451
597864.4,5654990,27.87,1.4451
597866.7,5654970,12.81,1.1075
597874.4,5654941,19.08,1.2806
597864,5654939,199.51,2.3000
597860.3,5654956,48.78,1.6882
597851.7,5654976,27.89,1.4454
597844.4,5654995,6.53,0.8149
597837.5,5655015,9.31,0.9689
597824.6,5655012,21.52,1.3328
597828.3,5654994,22.34,1.3491
597831.3,5654983,21.02,1.3226
597833.3,5654975,76.35,1.8828
597837.6,5654957,101.05,2.0045
